City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Busselton,AU,2021-10-31 16:44:09,-33.65,115.3333,52.05,80,96,9.42
67,Dongsheng,CN,2021-10-31 16:44:09,39.8161,109.9776,34.32,46,8,3.69
68,Komsomolskiy,UZ,2021-10-31 16:44:10,40.4272,71.7189,49.42,61,98,4.61
69,Iqaluit,CA,2021-10-31 16:41:34,63.7506,-68.5145,37.13,69,75,10.0
70,Torbat-E Jam,IR,2021-10-31 16:44:10,35.244,60.6225,50.38,39,1,7.14
71,Rikitea,PF,2021-10-31 16:44:11,-23.1203,-134.9692,74.07,88,100,17.58
72,Bethel,US,2021-10-31 16:44:11,41.3712,-73.414,65.08,73,75,1.99
73,Ascension,US,2021-10-31 16:44:11,30.2169,-90.9001,73.2,63,1,0.0
74,Port Lincoln,AU,2021-10-31 16:44:12,-34.7333,135.8667,58.3,75,1,10.27
75,Broken Hill,AU,2021-10-31 16:44:12,-31.95,141.4333,60.51,29,98,0.0
76,Beachwood,US,2021-10-31 16:44:12,41.4645,-81.5087,57.34,83,75,7.0
77,Kokopo,PG,2021-10-31 16:44:13,-4.352,152.2633,77.94,81,100,2.91
78,Kahului,US,2021-10-31 16:44:13,20.8947,-156.47,70.84,76,1,5.75
79,Udachnyy,RU,2021-10-31 16:44:14,66.4167,112.4,7.25,86,52,13.98
80,Bubaque,GW,2021-10-31 16:44:14,11.2833,-15.8333,82.81,74,83,10.07
81,Thaton,MM,2021-10-31 16:44:14,16.9206,97.3714,77.04,82,50,1.43
82,Nikolskoye,RU,2021-10-31 16:44:15,59.7035,30.7861,47.88,84,48,8.19
83,Colesberg,ZA,2021-10-31 16:44:15,-30.72,25.0972,75.02,19,93,7.76
84,Airai,TL,2021-10-31 16:44:15,-8.9266,125.4092,61.36,88,93,1.66
85,Katsuura,JP,2021-10-31 16:44:16,35.1333,140.3,61.11,92,96,8.5
86,Nanortalik,GL,2021-10-31 16:44:16,60.1432,-45.2371,34.47,74,49,14.52
87,New Norfolk,AU,2021-10-31 16:44:16,-42.7826,147.0587,54.91,58,100,5.99
88,Ostrovnoy,RU,2021-10-31 16:44:17,68.0531,39.5131,28.17,92,69,2.55
89,Yarmouth,US,2021-10-31 16:44:17,41.7057,-70.2286,66.18,85,75,11.99
90,Nacala,MZ,2021-10-31 16:44:17,-14.5428,40.6728,77.61,83,0,13.94
91,Thompson,CA,2021-10-31 16:44:18,55.7435,-97.8558,30.36,93,75,10.36
92,Shambu,ET,2021-10-31 16:44:18,9.5667,37.1,52.95,67,74,3.91
93,Punta Arenas,CL,2021-10-31 16:44:18,-53.15,-70.9167,50.11,50,0,11.5
94,Kudat,MY,2021-10-31 16:44:19,6.8837,116.8477,78.73,94,20,0.0
95,Yellowknife,CA,2021-10-31 16:43:01,62.456,-114.3525,28.42,100,75,6.91
96,Bengkulu,ID,2021-10-31 16:44:19,-3.8004,102.2655,76.82,90,100,3.62
97,Jamestown,US,2021-10-31 16:40:07,42.097,-79.2353,52.02,98,90,5.01
98,Bambous Virieux,MU,2021-10-31 16:44:20,-20.3428,57.7575,74.21,83,40,3.44
99,Sao Gabriel Da Cachoeira,BR,2021-10-31 16:44:20,-0.1303,-67.0892,89.4,58,20,5.75
100,Marzuq,YE,2021-10-31 16:44:20,14.4,46.4667,75.42,39,42,4.68
101,Ladushkin,RU,2021-10-31 16:44:21,54.5703,20.171,52.77,70,56,9.44
102,Owando,CG,2021-10-31 16:44:21,-0.4819,15.8999,74.88,91,98,3.4
103,Hofn,IS,2021-10-31 16:44:21,64.2539,-15.2082,41.02,56,75,25.32
104,Grootfontein,NA,2021-10-31 16:44:22,-19.5667,18.1167,90.97,12,20,10.36
105,Hasaki,JP,2021-10-31 16:44:22,35.7333,140.8333,57.6,88,100,5.77
106,Gat,IL,2021-10-31 16:44:23,31.61,34.7642,83.08,40,42,18.92
107,Coihueco,CL,2021-10-31 16:44:23,-36.6167,-71.8333,70.54,56,0,6.91
108,Coihaique,CL,2021-10-31 16:44:02,-45.5752,-72.0662,64.35,27,0,12.66
109,Hermanus,ZA,2021-10-31 16:44:23,-34.4187,19.2345,66.9,83,96,9.24
110,Bosaso,SO,2021-10-31 16:44:24,11.2842,49.1816,82.83,68,58,12.24
111,Luanda,AO,2021-10-31 16:41:33,-8.8368,13.2343,80.6,74,20,13.8
112,Esik,KZ,2021-10-31 16:44:24,43.3552,77.4525,38.62,74,99,3.44
113,Tura,IN,2021-10-31 16:44:24,25.5198,90.2201,62.13,64,0,2.8
114,Svetlyy,RU,2021-10-31 16:44:25,54.675,20.1347,52.97,72,46,8.79
115,Flinders,AU,2021-10-31 16:44:25,-34.5833,150.8552,55.18,81,9,1.01
116,Mar Del Plata,AR,2021-10-31 16:44:26,-38.0023,-57.5575,60.1,79,90,1.99
117,Brae,GB,2021-10-31 16:44:26,60.3964,-1.353,49.91,87,100,16.4
118,Te Anau,NZ,2021-10-31 16:44:27,-45.4167,167.7167,36.63,91,52,0.87
119,Teguldet,RU,2021-10-31 16:44:27,57.3064,88.1667,32.38,98,100,6.4
120,Haines Junction,CA,2021-10-31 16:44:27,60.7522,-137.5108,35.55,55,100,5.75
121,Tuim,RU,2021-10-31 16:44:28,54.3417,89.9261,33.87,71,100,17.05
122,Comodoro Rivadavia,AR,2021-10-31 16:44:28,-45.8667,-67.5,49.86,62,0,14.97
123,Cayenne,GF,2021-10-31 16:44:28,4.9333,-52.3333,89.64,77,68,5.01
124,Erenhot,CN,2021-10-31 16:44:29,43.6475,111.9767,34.39,34,0,5.64
125,Sahuaripa,MX,2021-10-31 16:44:29,29.05,-109.2333,78.78,34,79,1.92
126,Georgetown,MY,2021-10-31 16:42:25,5.4112,100.3354,80.55,87,20,0.0
127,Wairoa,NZ,2021-10-31 16:44:30,-39.0333,177.3667,53.55,70,98,1.99
128,Ilulissat,GL,2021-10-31 16:44:30,69.2167,-51.1,33.82,86,90,19.57
129,Chapleau,CA,2021-10-31 16:44:30,47.8405,-83.4034,41.09,93,90,10.36
130,Vestmannaeyjar,IS,2021-10-31 16:44:31,63.4427,-20.2734,40.19,70,0,26.46
131,Upernavik,GL,2021-10-31 16:39:58,72.7868,-56.1549,33.17,98,100,18.41
132,Provideniya,RU,2021-10-31 16:44:31,64.3833,-173.3,12.16,80,71,7.67
133,Hamilton,US,2021-10-31 16:44:31,39.1834,-84.5333,60.26,77,75,1.99
134,Namibe,AO,2021-10-31 16:44:32,-15.1961,12.1522,69.19,73,39,17.9
135,Saskylakh,RU,2021-10-31 16:44:32,71.9167,114.0833,11.23,96,100,6.06
136,Nouadhibou,MR,2021-10-31 16:44:32,20.931,-17.0347,76.98,69,8,13.8
137,Evensk,RU,2021-10-31 16:44:33,61.95,159.2333,0.55,78,58,11.5
138,Taoudenni,ML,2021-10-31 16:44:33,22.6783,-3.9836,93.42,13,0,10.58
139,Prachuap Khiri Khan,TH,2021-10-31 16:43:11,12.2167,99.75,72.72,95,99,1.86
140,Norman Wells,CA,2021-10-31 16:42:19,65.282,-126.8329,15.84,86,75,4.61
141,Sarkand,KZ,2021-10-31 16:41:19,45.41,79.9186,42.06,62,100,7.9
142,Chinhoyi,ZW,2021-10-31 16:44:34,-17.3667,30.2,80.46,33,60,5.68
143,Grand Gaube,MU,2021-10-31 16:44:34,-20.0064,57.6608,74.37,76,82,1.99
144,Faanui,PF,2021-10-31 16:44:35,-16.4833,-151.75,78.62,67,100,14.23
145,Sri Aman,MY,2021-10-31 16:44:35,1.2376,111.4621,77.05,99,100,0.0
146,Vila Velha,BR,2021-10-31 16:44:35,-20.3297,-40.2925,73.35,94,90,12.66
147,Santa Cruz,BO,2021-10-31 16:40:46,-17.8,-63.1667,93.25,52,20,12.66
148,College,US,2021-10-31 16:39:49,64.8569,-147.8028,46.06,45,75,12.66
149,Kiama,AU,2021-10-31 16:44:36,-34.6833,150.8667,55.38,88,13,7.43
150,Edgewood,US,2021-10-31 16:41:44,39.4187,-76.2944,67.91,83,90,3.0
151,Iwanai,JP,2021-10-31 16:44:36,42.9744,140.5089,50.11,90,88,5.21
152,Ukiah,US,2021-10-31 16:44:37,39.1502,-123.2078,56.88,79,90,0.0
153,Presidencia Roque Saenz Pena,AR,2021-10-31 16:44:37,-26.7852,-60.4388,99.54,24,6,4.94
